cp_measure_feature,cp_measure_module,cellprofiler_equivalent,cellprofiler_module,naming_rule,confidence,rsi,rsi_category,correction_strategy,note
InertiaTensor_0_1,measureobjectsizeshape,,MeasureObjectSizeShape,,medium,427775.0,high,moment_rotation_correction,
InertiaTensor_1_0,measureobjectsizeshape,,MeasureObjectSizeShape,,medium,427775.0,high,moment_rotation_correction,
InertiaTensor_1_1,measureobjectsizeshape,,MeasureObjectSizeShape,,medium,8.602487,high,moment_rotation_correction,
Location_CenterMassIntensity_Y,measureobjectintensity.get_intensity,Location_CenterMassIntensity_Y_{image},MeasureObjectIntensity,{cp_name}_{image}  (append channel/image name),medium,5.344895,high,convert_to_distance_from_centroid,
Location_MaxIntensity_Y,measureobjectintensity.get_intensity,Location_MaxIntensity_Y_{image},MeasureObjectIntensity,{cp_name}_{image}  (append channel/image name),medium,3.748785,high,convert_to_distance_from_centroid,
NormalizedMoment_1_1,measureobjectsizeshape,,MeasureObjectSizeShape,,medium,30353.916016,high,moment_rotation_correction,
NormalizedMoment_1_2,measureobjectsizeshape,,MeasureObjectSizeShape,,medium,1.148977,high,moment_rotation_correction,
NormalizedMoment_1_3,measureobjectsizeshape,,MeasureObjectSizeShape,,medium,43372.574219,high,moment_rotation_correction,
NormalizedMoment_2_0,measureobjectsizeshape,,MeasureObjectSizeShape,,medium,7.877635,high,moment_rotation_correction,
NormalizedMoment_2_1,measureobjectsizeshape,,MeasureObjectSizeShape,,medium,1.65541,high,moment_rotation_correction,
NormalizedMoment_2_2,measureobjectsizeshape,,MeasureObjectSizeShape,,medium,254.238617,high,moment_rotation_correction,
NormalizedMoment_2_3,measureobjectsizeshape,,MeasureObjectSizeShape,,medium,3.518361,high,moment_rotation_correction,
NormalizedMoment_3_0,measureobjectsizeshape,,MeasureObjectSizeShape,,medium,8.229285,high,moment_rotation_correction,
NormalizedMoment_3_1,measureobjectsizeshape,,MeasureObjectSizeShape,,medium,152885.3125,high,moment_rotation_correction,
NormalizedMoment_3_2,measureobjectsizeshape,,MeasureObjectSizeShape,,medium,15.154564,high,moment_rotation_correction,
NormalizedMoment_3_3,measureobjectsizeshape,,MeasureObjectSizeShape,,medium,346883.3125,high,moment_rotation_correction,
RadialDistribution_ZernikePhase_1_1,measureobjectintensitydistribution,RadialDistribution_ZernikePhase_1_1_{image},MeasureObjectIntensityDistribution,,medium,1.172593,high,phase_minus_m_times_orientation,
RadialDistribution_ZernikePhase_2_2,measureobjectintensitydistribution,RadialDistribution_ZernikePhase_2_2_{image},MeasureObjectIntensityDistribution,,medium,2.172742,high,phase_minus_m_times_orientation,
RadialDistribution_ZernikePhase_3_1,measureobjectintensitydistribution,RadialDistribution_ZernikePhase_3_1_{image},MeasureObjectIntensityDistribution,,medium,1.021347,high,phase_minus_m_times_orientation,
RadialDistribution_ZernikePhase_4_2,measureobjectintensitydistribution,RadialDistribution_ZernikePhase_4_2_{image},MeasureObjectIntensityDistribution,,medium,1.928812,high,phase_minus_m_times_orientation,
RadialDistribution_ZernikePhase_4_4,measureobjectintensitydistribution,RadialDistribution_ZernikePhase_4_4_{image},MeasureObjectIntensityDistribution,,medium,4.034132,high,phase_minus_m_times_orientation,
RadialDistribution_ZernikePhase_5_3,measureobjectintensitydistribution,RadialDistribution_ZernikePhase_5_3_{image},MeasureObjectIntensityDistribution,,medium,1.160128,high,phase_minus_m_times_orientation,
RadialDistribution_ZernikePhase_5_5,measureobjectintensitydistribution,RadialDistribution_ZernikePhase_5_5_{image},MeasureObjectIntensityDistribution,,medium,1.408571,high,phase_minus_m_times_orientation,
RadialDistribution_ZernikePhase_6_2,measureobjectintensitydistribution,RadialDistribution_ZernikePhase_6_2_{image},MeasureObjectIntensityDistribution,,medium,1.179858,high,phase_minus_m_times_orientation,
RadialDistribution_ZernikePhase_6_4,measureobjectintensitydistribution,RadialDistribution_ZernikePhase_6_4_{image},MeasureObjectIntensityDistribution,,medium,1.242102,high,phase_minus_m_times_orientation,
RadialDistribution_ZernikePhase_6_6,measureobjectintensitydistribution,RadialDistribution_ZernikePhase_6_6_{image},MeasureObjectIntensityDistribution,,medium,2.474732,high,phase_minus_m_times_orientation,
RadialDistribution_ZernikePhase_7_3,measureobjectintensitydistribution,RadialDistribution_ZernikePhase_7_3_{image},MeasureObjectIntensityDistribution,,medium,1.048053,high,phase_minus_m_times_orientation,
RadialDistribution_ZernikePhase_7_7,measureobjectintensitydistribution,RadialDistribution_ZernikePhase_7_7_{image},MeasureObjectIntensityDistribution,,medium,1.022233,high,phase_minus_m_times_orientation,
RadialDistribution_ZernikePhase_8_2,measureobjectintensitydistribution,RadialDistribution_ZernikePhase_8_2_{image},MeasureObjectIntensityDistribution,,medium,1.085974,high,phase_minus_m_times_orientation,
RadialDistribution_ZernikePhase_8_4,measureobjectintensitydistribution,RadialDistribution_ZernikePhase_8_4_{image},MeasureObjectIntensityDistribution,,medium,1.165715,high,phase_minus_m_times_orientation,
RadialDistribution_ZernikePhase_8_6,measureobjectintensitydistribution,RadialDistribution_ZernikePhase_8_6_{image},MeasureObjectIntensityDistribution,,medium,1.136552,high,phase_minus_m_times_orientation,
RadialDistribution_ZernikePhase_8_8,measureobjectintensitydistribution,RadialDistribution_ZernikePhase_8_8_{image},MeasureObjectIntensityDistribution,,medium,1.824479,high,phase_minus_m_times_orientation,
RadialDistribution_ZernikePhase_9_3,measureobjectintensitydistribution,RadialDistribution_ZernikePhase_9_3_{image},MeasureObjectIntensityDistribution,,medium,1.062164,high,phase_minus_m_times_orientation,
RadialDistribution_ZernikePhase_9_7,measureobjectintensitydistribution,RadialDistribution_ZernikePhase_9_7_{image},MeasureObjectIntensityDistribution,,medium,1.113308,high,phase_minus_m_times_orientation,
RadialDistribution_ZernikePhase_9_9,measureobjectintensitydistribution,RadialDistribution_ZernikePhase_9_9_{image},MeasureObjectIntensityDistribution,,medium,1.233733,high,phase_minus_m_times_orientation,
SpatialMoment_2_0,measureobjectsizeshape,,MeasureObjectSizeShape,,medium,6.671784,high,moment_rotation_correction,
SpatialMoment_2_1,measureobjectsizeshape,,MeasureObjectSizeShape,,medium,2.887498,high,moment_rotation_correction,
